customer_id,cell_id,window_start,window_end,rsrp_avg,sinr_avg,handover_failures,congestion_pct,packet_loss_pct
0042-RLHYP,CELL_112B,2024-12-01,2024-12-07,-85.7,17.1,0,44.7,0.59
0048-LUMLS,CELL_411A,2024-12-01,2024-12-07,-96.9,5.7,5,75.5,1.86
0048-PIHNL,CELL_889D,2024-12-01,2024-12-07,-90.4,17.8,1,49.0,0.37
0052-DCKON,CELL_234A,2024-12-01,2024-12-07,-93.0,13.9,0,55.8,0.26
0052-YNYOT,CELL_889D,2024-12-01,2024-12-07,-105.8,2.6,14,87.9,4.94
0056-EPFBG,CELL_778C,2024-12-01,2024-12-07,-106.4,2.6,14,97.2,3.41
0057-QBUQH,CELL_502B,2024-12-01,2024-12-07,-103.1,7.4,5,78.1,2.54
0058-EVZWM,CELL_301C,2024-12-01,2024-12-07,-91.9,14.0,1,46.7,0.36
0060-FUALY,CELL_411A,2024-12-01,2024-12-07,-91.0,14.6,1,46.7,0.54
0064-SUDOG,CELL_502B,2024-12-01,2024-12-07,-91.8,13.3,0,51.8,0.55
0064-YIJGF,CELL_234A,2024-12-01,2024-12-07,-107.2,4.5,11,86.1,3.48
0067-DKWBL,CELL_778C,2024-12-01,2024-12-07,-89.3,16.7,0,41.2,0.57
0068-FIGTF,CELL_778C,2024-12-01,2024-12-07,-108.4,1.1,10,93.5,3.67
0071-NDAFP,CELL_101A,2024-12-01,2024-12-07,-103.9,9.6,3,72.7,2.05
0074-HDKDG,CELL_301C,2024-12-01,2024-12-07,-87.4,16.9,1,47.0,0.15
0076-LVEPS,CELL_101A,2024-12-01,2024-12-07,-112.1,2.8,13,92.7,5.94
0078-XZMHT,CELL_245B,2024-12-01,2024-12-07,-87.3,14.9,0,53.8,0.35
0080-EMYVY,CELL_112B,2024-12-01,2024-12-07,-90.8,20.4,0,36.9,0.35
0080-OROZO,CELL_112B,2024-12-01,2024-12-07,-85.6,15.8,1,35.3,0.57
0082-LDZUE,CELL_778C,2024-12-01,2024-12-07,-90.4,16.5,0,47.2,0.59
0082-OQIQY,CELL_411A,2024-12-01,2024-12-07,-90.7,14.0,1,55.5,0.26
0083-PIVIK,CELL_112B,2024-12-01,2024-12-07,-99.1,5.5,5,82.7,2.9
0089-IIQKO,CELL_234A,2024-12-01,2024-12-07,-93.4,17.8,0,45.5,0.54
0093-EXYQL,CELL_112B,2024-12-01,2024-12-07,-87.4,17.1,0,51.3,0.38
0093-XWZFY,CELL_134C,2024-12-01,2024-12-07,-92.0,11.6,1,56.0,0.56
0094-OIFMO,CELL_778C,2024-12-01,2024-12-07,-88.5,22.7,0,35.8,0.14
0096-BXERS,CELL_134C,2024-12-01,2024-12-07,-91.7,14.7,0,40.1,0.29
0096-FCPUF,CELL_502B,2024-12-01,2024-12-07,-89.5,13.3,1,39.8,0.18
0098-BOWSO,CELL_411A,2024-12-01,2024-12-07,-101.7,9.2,4,82.3,2.04
0100-DUVFC,CELL_112B,2024-12-01,2024-12-07,-89.8,12.8,0,38.1,0.58
0103-CSITQ,CELL_245B,2024-12-01,2024-12-07,-86.4,14.7,1,45.9,0.37
0104-PPXDV,CELL_134C,2024-12-01,2024-12-07,-103.9,5.2,12,97.6,5.14
0106-GHRQR,CELL_411A,2024-12-01,2024-12-07,-100.4,7.0,5,76.6,1.62
0106-UGRDO,CELL_301C,2024-12-01,2024-12-07,-88.5,16.7,0,31.7,0.56
0107-WESLM,CELL_502B,2024-12-01,2024-12-07,-94.6,14.3,1,51.4,0.43
0107-YHINA,CELL_889D,2024-12-01,2024-12-07,-88.9,18.3,1,51.9,0.12
0111-KLBQG,CELL_411A,2024-12-01,2024-12-07,-104.7,8.5,4,70.2,1.67
0112-QAWRZ,CELL_778C,2024-12-01,2024-12-07,-98.2,9.5,6,70.3,2.65
0112-QWPNC,CELL_411A,2024-12-01,2024-12-07,-102.2,10.2,4,76.5,2.1
0114-IGABW,CELL_411A,2024-12-01,2024-12-07,-85.4,17.6,1,37.8,0.11
0114-PEGZZ,CELL_101A,2024-12-01,2024-12-07,-108.0,5.1,12,93.9,4.85
0114-RSRRW,CELL_101A,2024-12-01,2024-12-07,-89.0,16.9,1,47.3,0.29
0115-TFERT,CELL_134C,2024-12-01,2024-12-07,-102.5,12.2,5,82.3,2.44
0117-LFRMW,CELL_301C,2024-12-01,2024-12-07,-88.5,17.1,0,35.9,0.13
0118-JPNOY,CELL_301C,2024-12-01,2024-12-07,-89.2,13.8,0,49.7,0.29
0121-SNYRK,CELL_101A,2024-12-01,2024-12-07,-104.5,10.6,5,74.2,1.68
0122-OAHPZ,CELL_411A,2024-12-01,2024-12-07,-87.1,17.9,0,31.2,0.31
0123-CRBRT,CELL_112B,2024-12-01,2024-12-07,-99.8,9.0,3,81.3,2.71
0125-LZQXK,CELL_301C,2024-12-01,2024-12-07,-100.1,8.2,4,73.8,2.37
0128-MKWSG,CELL_301C,2024-12-01,2024-12-07,-89.5,17.1,1,42.9,0.48
0129-KPTWJ,CELL_889D,2024-12-01,2024-12-07,-91.2,15.5,0,46.0,0.35
0129-QMPDR,CELL_112B,2024-12-01,2024-12-07,-106.2,6.3,5,75.8,1.52
0130-SXOUN,CELL_301C,2024-12-01,2024-12-07,-98.7,7.7,6,77.2,2.24
0133-BMFZO,CELL_778C,2024-12-01,2024-12-07,-104.6,7.2,12,94.8,5.37
0134-XWXCE,CELL_234A,2024-12-01,2024-12-07,-92.1,15.0,0,31.7,0.47
0135-NMXAP,CELL_502B,2024-12-01,2024-12-07,-84.6,15.8,0,34.3,0.48
0136-IFMYD,CELL_134C,2024-12-01,2024-12-07,-92.5,15.5,0,42.8,0.21
0137-OCGAB,CELL_301C,2024-12-01,2024-12-07,-96.5,7.5,4,71.2,1.63
0137-UDEUO,CELL_245B,2024-12-01,2024-12-07,-104.5,3.3,14,96.8,4.78
0139-IVFJG,CELL_778C,2024-12-01,2024-12-07,-86.0,13.1,0,53.3,0.38
0141-YEAYS,CELL_889D,2024-12-01,2024-12-07,-96.6,7.7,5,76.5,1.88
0142-GVYSN,CELL_411A,2024-12-01,2024-12-07,-103.7,1.1,11,86.5,3.35
0147-ESWWR,CELL_245B,2024-12-01,2024-12-07,-104.2,5.2,12,88.1,4.2
0148-DCDOS,CELL_411A,2024-12-01,2024-12-07,-110.5,3.9,8,87.9,5.89
0151-ONTOV,CELL_245B,2024-12-01,2024-12-07,-89.3,15.0,0,37.6,0.45
0156-FVPTA,CELL_889D,2024-12-01,2024-12-07,-102.8,6.1,3,79.4,2.38
0164-APGRB,CELL_101A,2024-12-01,2024-12-07,-90.3,17.0,1,40.1,0.18
0164-XAIRP,CELL_234A,2024-12-01,2024-12-07,-93.6,18.2,1,47.5,0.14
0168-XZKBB,CELL_778C,2024-12-01,2024-12-07,-89.0,18.8,0,42.3,0.4
0174-QRVVY,CELL_778C,2024-12-01,2024-12-07,-91.9,14.2,0,54.7,0.57
0177-PXBAT,CELL_411A,2024-12-01,2024-12-07,-97.0,11.0,4,71.2,2.81
0178-CIIKR,CELL_245B,2024-12-01,2024-12-07,-93.7,15.4,1,41.3,0.51
0178-SZBHO,CELL_245B,2024-12-01,2024-12-07,-95.1,17.7,1,54.9,0.38
0181-RITDD,CELL_301C,2024-12-01,2024-12-07,-99.1,7.0,3,85.0,2.99
0186-CAERR,CELL_301C,2024-12-01,2024-12-07,-103.5,4.5,12,94.8,4.13
0187-QSXOE,CELL_889D,2024-12-01,2024-12-07,-92.2,13.7,0,58.6,0.4
0187-WZNAB,CELL_411A,2024-12-01,2024-12-07,-105.9,2.3,9,89.7,3.34
0188-GWFLE,CELL_411A,2024-12-01,2024-12-07,-99.0,12.1,4,82.5,1.96
0191-EQUUH,CELL_101A,2024-12-01,2024-12-07,-91.7,20.1,0,52.7,0.41
0191-ZHSKZ,CELL_502B,2024-12-01,2024-12-07,-92.9,16.4,1,48.5,0.59
0193-ESZXP,CELL_502B,2024-12-01,2024-12-07,-85.2,17.5,0,43.1,0.55
0195-IESCP,CELL_245B,2024-12-01,2024-12-07,-107.4,0.7,14,90.2,4.87
0196-JTUQI,CELL_101A,2024-12-01,2024-12-07,-95.1,14.9,1,31.4,0.41
0196-VULGZ,CELL_112B,2024-12-01,2024-12-07,-93.4,13.8,0,37.2,0.14
0197-PNKNK,CELL_234A,2024-12-01,2024-12-07,-104.4,9.0,6,76.2,2.81
0201-MIBOL,CELL_778C,2024-12-01,2024-12-07,-98.1,8.0,3,72.9,1.56
0201-OAMXR,CELL_778C,2024-12-01,2024-12-07,-102.1,6.4,3,70.5,2.32
0203-HHYIJ,CELL_411A,2024-12-01,2024-12-07,-96.4,16.0,1,40.9,0.35
0206-OYVOC,CELL_101A,2024-12-01,2024-12-07,-100.4,8.1,3,77.2,2.53
0206-TBWLC,CELL_234A,2024-12-01,2024-12-07,-104.9,8.1,6,70.9,1.92
0207-MDKNV,CELL_411A,2024-12-01,2024-12-07,-97.5,9.5,3,84.8,2.3
0208-BPQEJ,CELL_134C,2024-12-01,2024-12-07,-100.1,8.1,6,75.5,2.19
0212-ISBBF,CELL_234A,2024-12-01,2024-12-07,-87.4,13.0,0,55.3,0.47
0214-JHPFW,CELL_889D,2024-12-01,2024-12-07,-93.5,11.7,1,38.1,0.29
0215-BQKGS,CELL_112B,2024-12-01,2024-12-07,-102.6,5.8,6,73.5,2.01
0218-QNVAS,CELL_889D,2024-12-01,2024-12-07,-96.5,14.2,0,45.0,0.14
0219-QAERP,CELL_134C,2024-12-01,2024-12-07,-82.9,17.0,1,47.6,0.38
0219-YTZUE,CELL_112B,2024-12-01,2024-12-07,-106.1,5.7,6,79.7,2.36
0220-EBGCE,CELL_112B,2024-12-01,2024-12-07,-94.2,16.1,1,36.8,0.28
0221-NAUXK,CELL_134C,2024-12-01,2024-12-07,-95.2,7.9,4,74.3,1.76
0221-WMXNQ,CELL_245B,2024-12-01,2024-12-07,-97.5,16.4,1,59.9,0.55
0222-CNVPT,CELL_101A,2024-12-01,2024-12-07,-96.8,8.3,5,82.3,1.89
0224-HJAPT,CELL_889D,2024-12-01,2024-12-07,-88.5,13.0,0,51.6,0.37
0224-NIJLP,CELL_889D,2024-12-01,2024-12-07,-104.3,3.9,12,87.4,3.97
0224-RLWWD,CELL_101A,2024-12-01,2024-12-07,-107.2,-0.1,8,91.9,5.12
0225-ZORZP,CELL_301C,2024-12-01,2024-12-07,-90.6,15.3,1,34.6,0.34
0228-MAUWC,CELL_889D,2024-12-01,2024-12-07,-92.0,15.1,1,43.6,0.37
0229-LFJAF,CELL_301C,2024-12-01,2024-12-07,-94.2,15.5,1,54.3,0.23
0230-UBYPQ,CELL_778C,2024-12-01,2024-12-07,-95.6,9.5,5,77.1,2.41
0230-WEQUW,CELL_889D,2024-12-01,2024-12-07,-90.6,15.3,0,54.9,0.58
0231-LXVAP,CELL_234A,2024-12-01,2024-12-07,-98.5,6.8,3,73.1,2.07
0233-FTHAV,CELL_101A,2024-12-01,2024-12-07,-99.3,8.7,6,82.6,1.71
0234-TEVTT,CELL_134C,2024-12-01,2024-12-07,-102.4,9.2,4,82.4,1.78
0235-KGSLC,CELL_411A,2024-12-01,2024-12-07,-97.4,5.4,4,75.4,2.82
0236-HFWSV,CELL_234A,2024-12-01,2024-12-07,-95.2,7.2,5,80.7,2.85
0237-YFUTL,CELL_101A,2024-12-01,2024-12-07,-87.9,19.4,0,45.1,0.22
0238-WHBIQ,CELL_101A,2024-12-01,2024-12-07,-108.7,5.2,13,85.9,3.69
0239-OXEXL,CELL_411A,2024-12-01,2024-12-07,-109.2,10.9,5,79.4,2.0
0244-LGNFY,CELL_301C,2024-12-01,2024-12-07,-107.0,3.4,12,91.4,5.22
0247-SLUJI,CELL_101A,2024-12-01,2024-12-07,-105.5,5.5,10,94.7,3.1
0248-IPDFW,CELL_101A,2024-12-01,2024-12-07,-103.5,4.6,10,94.8,3.31
0248-PGHBZ,CELL_502B,2024-12-01,2024-12-07,-109.0,9.4,3,71.9,2.1
0253-ZTEOB,CELL_301C,2024-12-01,2024-12-07,-91.3,15.8,0,42.3,0.49
0254-FNMCI,CELL_234A,2024-12-01,2024-12-07,-107.9,3.8,11,92.1,3.76
0254-KCJGT,CELL_134C,2024-12-01,2024-12-07,-104.2,7.0,4,75.1,1.84
0254-WWRKD,CELL_112B,2024-12-01,2024-12-07,-106.7,6.8,5,72.3,2.38
0256-LTHVJ,CELL_301C,2024-12-01,2024-12-07,-82.7,15.3,0,51.8,0.4
0257-KXZGU,CELL_245B,2024-12-01,2024-12-07,-104.4,5.0,14,92.9,4.27
0257-ZESQC,CELL_778C,2024-12-01,2024-12-07,-99.3,8.2,4,83.7,1.68
0258-NOKBL,CELL_502B,2024-12-01,2024-12-07,-102.5,7.0,6,71.9,2.88
0259-GBZSH,CELL_101A,2024-12-01,2024-12-07,-89.8,17.2,1,48.2,0.29
0260-ZDLGK,CELL_134C,2024-12-01,2024-12-07,-92.4,16.3,0,30.1,0.27
0263-FJTQO,CELL_778C,2024-12-01,2024-12-07,-105.4,0.5,10,97.0,4.4
0264-CNITK,CELL_245B,2024-12-01,2024-12-07,-96.6,7.9,6,73.4,2.18
0265-EDXBD,CELL_411A,2024-12-01,2024-12-07,-90.7,14.5,0,35.0,0.12
0265-PSUAE,CELL_778C,2024-12-01,2024-12-07,-95.8,6.6,5,79.5,1.52
0266-CLZKZ,CELL_502B,2024-12-01,2024-12-07,-111.1,4.8,11,91.0,4.67
0266-GMEAO,CELL_134C,2024-12-01,2024-12-07,-89.7,17.3,1,45.1,0.4
0268-QKIWO,CELL_778C,2024-12-01,2024-12-07,-99.9,8.0,5,82.0,2.02
0269-XFESX,CELL_301C,2024-12-01,2024-12-07,-83.2,13.9,0,44.2,0.38
0270-THENM,CELL_134C,2024-12-01,2024-12-07,-85.8,9.7,1,44.4,0.35
0274-JKUJR,CELL_234A,2024-12-01,2024-12-07,-91.1,15.5,1,55.9,0.57
0277-BKSQP,CELL_234A,2024-12-01,2024-12-07,-105.6,6.4,4,77.9,2.7
0277-ORXQS,CELL_411A,2024-12-01,2024-12-07,-90.8,17.0,0,36.7,0.22
0278-YXOOG,CELL_889D,2024-12-01,2024-12-07,-99.6,7.7,5,83.3,2.34
0280-XJGEX,CELL_301C,2024-12-01,2024-12-07,-105.4,4.9,13,92.8,5.42
0281-CNTZX,CELL_112B,2024-12-01,2024-12-07,-101.1,5.9,5,83.4,1.52
0282-NVSJS,CELL_112B,2024-12-01,2024-12-07,-95.0,18.5,1,57.3,0.41
0285-INHLN,CELL_502B,2024-12-01,2024-12-07,-87.0,14.0,0,47.7,0.23
0289-IVARM,CELL_502B,2024-12-01,2024-12-07,-93.8,18.5,1,40.9,0.53
0292-WEGCH,CELL_245B,2024-12-01,2024-12-07,-91.1,15.5,1,44.6,0.55
0295-PPHDO,CELL_301C,2024-12-01,2024-12-07,-91.0,17.7,0,45.4,0.47
0295-QVKPB,CELL_889D,2024-12-01,2024-12-07,-92.4,18.2,0,34.2,0.52
0297-RBCSG,CELL_411A,2024-12-01,2024-12-07,-89.9,15.7,0,50.7,0.44
0298-XACET,CELL_112B,2024-12-01,2024-12-07,-89.6,17.6,1,47.3,0.24
0301-FIDRB,CELL_234A,2024-12-01,2024-12-07,-84.0,16.4,1,51.6,0.15
0301-KOBTQ,CELL_502B,2024-12-01,2024-12-07,-101.7,6.7,5,83.1,2.4
0302-JOIVN,CELL_234A,2024-12-01,2024-12-07,-85.0,17.0,0,47.2,0.52
0303-UNCIP,CELL_301C,2024-12-01,2024-12-07,-85.8,14.0,1,31.4,0.18
0303-WMMRN,CELL_101A,2024-12-01,2024-12-07,-91.0,15.4,1,53.1,0.13
0305-SQECB,CELL_112B,2024-12-01,2024-12-07,-90.7,17.4,1,51.6,0.25
0306-JAELE,CELL_112B,2024-12-01,2024-12-07,-92.8,20.3,0,58.6,0.17
0307-BCOPK,CELL_234A,2024-12-01,2024-12-07,-107.0,7.8,5,73.9,2.39
0308-GIQJT,CELL_778C,2024-12-01,2024-12-07,-90.0,13.7,0,34.6,0.41
0308-IVGOK,CELL_234A,2024-12-01,2024-12-07,-114.4,3.5,8,90.4,5.11
0310-MVLET,CELL_301C,2024-12-01,2024-12-07,-103.8,12.6,5,82.3,2.7
0310-SUCIN,CELL_112B,2024-12-01,2024-12-07,-93.3,16.9,1,33.1,0.26
0310-VQXAM,CELL_889D,2024-12-01,2024-12-07,-88.0,17.0,0,35.6,0.37
0311-QYWSS,CELL_101A,2024-12-01,2024-12-07,-98.5,9.2,3,81.4,2.59
0311-UNPFF,CELL_778C,2024-12-01,2024-12-07,-99.8,8.0,4,77.3,1.83
0314-TKOSI,CELL_411A,2024-12-01,2024-12-07,-87.5,15.3,1,33.6,0.47
0315-LVCRK,CELL_134C,2024-12-01,2024-12-07,-108.6,3.8,10,97.3,4.42
0318-QUUOB,CELL_301C,2024-12-01,2024-12-07,-99.9,8.1,4,77.8,2.47
0318-ZOPWS,CELL_101A,2024-12-01,2024-12-07,-105.1,10.8,6,71.8,1.62
0319-QZTCO,CELL_234A,2024-12-01,2024-12-07,-93.1,17.6,0,42.1,0.39
0320-DWVTU,CELL_101A,2024-12-01,2024-12-07,-99.3,10.8,4,74.8,2.44
0320-JDNQG,CELL_411A,2024-12-01,2024-12-07,-98.9,9.8,4,76.3,2.19
0322-CHQRU,CELL_234A,2024-12-01,2024-12-07,-101.8,5.6,6,82.0,3.0
0322-YINQP,CELL_502B,2024-12-01,2024-12-07,-95.1,6.6,3,70.6,2.22
0323-XWWTN,CELL_301C,2024-12-01,2024-12-07,-94.8,16.1,0,53.0,0.31
0324-BRPCJ,CELL_234A,2024-12-01,2024-12-07,-103.3,3.2,13,85.0,4.4
0325-XBFAC,CELL_889D,2024-12-01,2024-12-07,-96.9,7.1,4,73.5,1.56
0326-VDYXE,CELL_134C,2024-12-01,2024-12-07,-113.8,2.2,11,87.8,5.85
0327-WFZSY,CELL_301C,2024-12-01,2024-12-07,-105.0,3.7,13,92.8,5.71
0328-GRPMV,CELL_245B,2024-12-01,2024-12-07,-90.4,13.7,0,49.5,0.4
0329-GTIAJ,CELL_245B,2024-12-01,2024-12-07,-94.7,15.1,1,41.5,0.12
0330-BGYZE,CELL_101A,2024-12-01,2024-12-07,-97.9,10.4,5,83.3,2.89
0330-IVZHA,CELL_411A,2024-12-01,2024-12-07,-103.7,3.1,13,98.0,5.69
0334-GDDSO,CELL_112B,2024-12-01,2024-12-07,-91.1,6.7,3,78.1,2.39
0334-ZFJSR,CELL_234A,2024-12-01,2024-12-07,-103.4,8.3,3,75.9,1.91
0336-KXKFK,CELL_134C,2024-12-01,2024-12-07,-109.8,4.0,9,96.2,5.43
0336-PIKEI,CELL_245B,2024-12-01,2024-12-07,-88.0,19.0,0,38.4,0.23
0337-CNPZE,CELL_778C,2024-12-01,2024-12-07,-99.8,6.7,3,73.3,2.52
0343-QLUZP,CELL_502B,2024-12-01,2024-12-07,-100.4,13.3,0,57.2,0.39
0345-HKJVM,CELL_101A,2024-12-01,2024-12-07,-88.4,19.0,0,38.0,0.54
0345-XMMUG,CELL_234A,2024-12-01,2024-12-07,-106.2,5.7,8,87.0,3.48
0347-UBKUZ,CELL_778C,2024-12-01,2024-12-07,-93.5,13.5,0,50.4,0.41
0348-SDKOL,CELL_112B,2024-12-01,2024-12-07,-91.9,16.0,0,58.8,0.33
0354-VXMJC,CELL_245B,2024-12-01,2024-12-07,-91.6,16.3,0,34.8,0.51
0354-WYROK,CELL_245B,2024-12-01,2024-12-07,-89.9,17.6,0,35.8,0.14
0356-ERHVT,CELL_101A,2024-12-01,2024-12-07,-88.0,11.2,1,37.8,0.42
0356-OBMAC,CELL_502B,2024-12-01,2024-12-07,-94.0,8.4,4,74.3,1.53
0357-NVCRI,CELL_112B,2024-12-01,2024-12-07,-86.4,14.5,1,49.0,0.57
0361-HJRDX,CELL_411A,2024-12-01,2024-12-07,-91.3,15.4,0,35.0,0.49
0362-RAOQO,CELL_411A,2024-12-01,2024-12-07,-90.7,18.7,1,48.6,0.12
0362-ZBZWJ,CELL_245B,2024-12-01,2024-12-07,-88.9,13.9,0,32.0,0.51
0363-QJVFX,CELL_502B,2024-12-01,2024-12-07,-104.6,3.3,10,93.9,4.34
0363-SVHYR,CELL_101A,2024-12-01,2024-12-07,-94.3,10.6,0,45.8,0.51
0365-BZUWY,CELL_101A,2024-12-01,2024-12-07,-87.5,14.0,0,50.4,0.43
0365-GXEZS,CELL_301C,2024-12-01,2024-12-07,-108.7,2.3,12,96.8,5.57
0365-TRTPY,CELL_101A,2024-12-01,2024-12-07,-95.5,13.9,1,56.8,0.21
0366-NQSHS,CELL_502B,2024-12-01,2024-12-07,-93.8,17.9,0,44.1,0.37
0369-ZGOVK,CELL_101A,2024-12-01,2024-12-07,-101.7,7.0,3,81.6,2.66
0373-AIVNJ,CELL_112B,2024-12-01,2024-12-07,-106.6,4.9,10,95.4,3.88
0374-AACSZ,CELL_101A,2024-12-01,2024-12-07,-90.5,12.3,1,33.5,0.16
0374-FIUCA,CELL_112B,2024-12-01,2024-12-07,-110.0,6.7,13,87.9,3.48
0374-IOEGQ,CELL_778C,2024-12-01,2024-12-07,-112.0,5.7,9,95.4,3.93
0375-HVGXO,CELL_234A,2024-12-01,2024-12-07,-90.8,14.9,1,50.4,0.3
0376-OIWME,CELL_778C,2024-12-01,2024-12-07,-86.4,16.5,1,53.4,0.12
0376-YMCJC,CELL_889D,2024-12-01,2024-12-07,-92.9,14.9,0,33.1,0.39
0377-JBKKT,CELL_502B,2024-12-01,2024-12-07,-90.0,14.2,1,51.1,0.38
0378-CJKPV,CELL_502B,2024-12-01,2024-12-07,-103.5,8.1,3,71.2,2.74
0378-NHQXU,CELL_245B,2024-12-01,2024-12-07,-94.2,12.8,1,47.0,0.44
0378-TOVMS,CELL_502B,2024-12-01,2024-12-07,-109.7,4.9,14,93.7,5.85
0378-XSZPU,CELL_134C,2024-12-01,2024-12-07,-93.2,10.8,5,78.1,2.56
0379-DJQHR,CELL_134C,2024-12-01,2024-12-07,-88.8,16.4,1,53.5,0.41
0380-NEAVX,CELL_101A,2024-12-01,2024-12-07,-83.7,14.6,1,46.4,0.51
0380-ZCSBI,CELL_411A,2024-12-01,2024-12-07,-91.7,6.6,3,72.5,2.16
0383-CLDDA,CELL_234A,2024-12-01,2024-12-07,-88.0,18.1,1,34.8,0.54
0384-LPITE,CELL_101A,2024-12-01,2024-12-07,-93.1,13.9,0,43.0,0.12
0384-RVBPI,CELL_134C,2024-12-01,2024-12-07,-93.9,17.4,1,59.2,0.43
0386-CWRGM,CELL_778C,2024-12-01,2024-12-07,-88.2,13.0,0,42.6,0.2
0388-EOPEX,CELL_234A,2024-12-01,2024-12-07,-91.0,15.7,0,51.8,0.47
0390-DCFDQ,CELL_411A,2024-12-01,2024-12-07,-95.6,13.2,1,53.0,0.35
0392-BZIUW,CELL_234A,2024-12-01,2024-12-07,-87.1,20.9,0,43.2,0.46
0394-YONDK,CELL_112B,2024-12-01,2024-12-07,-95.7,7.9,4,81.9,2.48
0396-HUJBP,CELL_112B,2024-12-01,2024-12-07,-93.8,11.9,1,48.9,0.47
0396-UKGAI,CELL_112B,2024-12-01,2024-12-07,-88.8,13.6,1,48.1,0.42
0396-YCHWO,CELL_101A,2024-12-01,2024-12-07,-89.3,10.4,0,55.6,0.35
0397-GZBBC,CELL_112B,2024-12-01,2024-12-07,-97.8,7.3,5,78.9,2.37
0397-ZXWQF,CELL_301C,2024-12-01,2024-12-07,-92.1,15.6,0,41.7,0.58
0401-WDBXM,CELL_134C,2024-12-01,2024-12-07,-96.8,5.5,5,78.8,2.4
0402-CQAJN,CELL_112B,2024-12-01,2024-12-07,-94.2,13.9,0,37.1,0.14
0402-OAMEN,CELL_112B,2024-12-01,2024-12-07,-89.8,12.4,1,50.1,0.17
0404-AHASP,CELL_112B,2024-12-01,2024-12-07,-83.4,12.5,1,51.2,0.18
0404-SWRVG,CELL_301C,2024-12-01,2024-12-07,-105.5,5.8,12,95.2,5.12
0406-BPDVR,CELL_101A,2024-12-01,2024-12-07,-104.7,3.8,13,87.7,3.34
0407-BDJKB,CELL_101A,2024-12-01,2024-12-07,-90.2,14.9,0,36.9,0.13
0409-WTMPL,CELL_301C,2024-12-01,2024-12-07,-93.7,16.3,0,58.0,0.26
0410-IPFTY,CELL_502B,2024-12-01,2024-12-07,-109.8,4.0,9,90.2,4.44
0411-EZJZE,CELL_301C,2024-12-01,2024-12-07,-112.6,4.8,10,91.4,5.0
0412-UCCNP,CELL_245B,2024-12-01,2024-12-07,-86.7,12.9,1,52.0,0.18
0415-MOSGF,CELL_778C,2024-12-01,2024-12-07,-88.2,13.4,0,43.3,0.53
0419-YAAPX,CELL_234A,2024-12-01,2024-12-07,-88.4,13.2,0,59.4,0.29
